,Book1,Book2,Book3,Book4,Book5,Book6,Book7,Book8,Book9,Book10,Book11,Book12,Book13,Book14,Book15,Book16,Book17,Book18,Book19,Book20,Book21,Book22,Book23,Book24
Book1,1.0,0.85899575916262,0.8098107082457163,0.8981192840579051,0.6979756876990182,0.8316110313377387,0.6867298791491542,0.8428665456727022,0.8229928071745132,0.8658935908924139,0.7276748427692332,0.7888108943535594,0.8444046313720512,0.8355223933504865,0.697705373884246,0.793893766003023,0.8168380089583511,0.8249957339655967,0.9465493135970856,0.8249957339655967,0.8745777146179095,0.858359123359358,0.8709479665726056,0.8223712637635254
Book2,0.85899575916262,0.9999999999999999,0.7529478806875216,0.8110499868464063,0.7485527004741748,0.8089890107600647,0.7383972626466484,0.8129005177476436,0.7986916953852085,0.820104726943245,0.7387797736501915,0.8170354215912193,0.7693935039203461,0.7966997477028528,0.6677561862423316,0.7790602319645903,0.7490916197592766,0.7565727645789466,0.8472596772293055,0.7565727645789466,0.8631402728572779,0.8429934820188578,0.77528037571788,0.8131599944057715
Book3,0.8098107082457163,0.7529478806875216,1.0000000000000002,0.8108594559173743,0.629626146142976,0.7447782003228604,0.621437450798747,0.7044825045137673,0.7062054688772015,0.774128836994256,0.7355684907754423,0.6987445241182692,0.764103395012863,0.6962977080451473,0.6162549582610398,0.7501587732863324,0.7580158433470607,0.7482214243216414,0.8334487829624702,0.7482214243216414,0.7736649817002048,0.7592152971618722,0.7417148062949697,0.7268509787190558
Book4,0.8981192840579051,0.8110499868464063,0.8108594559173743,1.0000000000000002,0.6969571446460183,0.8333869389472299,0.6592421515061623,0.7825769870720953,0.7738530343144427,0.8322312125029316,0.7828731288607378,0.727097842132457,0.804306743417435,0.7776514815857644,0.6818616292992195,0.784950268744881,0.7759793022674769,0.7837289731811564,0.8560356361740153,0.7837289731811564,0.8316786190156333,0.8208888246207491,0.8168462714887463,0.7949153226275164
Book5,0.6979756876990182,0.7485527004741748,0.629626146142976,0.6969571446460183,1.0000000000000002,0.7184079955564004,0.6520146690847534,0.6775270918665772,0.7264325786039659,0.6839199887852832,0.7211166225728739,0.7403887914102394,0.6458834518590799,0.6608039523653747,0.5928195091900321,0.6803625060688734,0.6237366387034319,0.6299658688808754,0.6962574873456105,0.6299658688808754,0.7092705430969064,0.6952910518702673,0.6839407895459564,0.7122272783720397
Book6,0.8316110313377387,0.8089890107600647,0.7447782003228604,0.8333869389472299,0.7184079955564004,1.0,0.7094285466477284,0.9594645786297987,0.748209212900691,0.7703820410496703,0.7927916812837661,0.7618592558104699,0.7423428418374691,0.9511070727780113,0.6952192791982988,0.7672879586052473,0.7216922593557042,0.7288997679768925,0.7980721189754807,0.7288997679768925,0.7769041536316967,0.7529983694891667,0.777558782630931,0.8078103387640525
Book7,0.6867298791491542,0.7383972626466484,0.621437450798747,0.6592421515061623,0.6520146690847534,0.7094285466477284,1.0,0.6928478706290251,0.6832638299134202,0.7096691555350931,0.6740160284620262,0.7973352262165305,0.6426430556755268,0.6796277408588973,0.6379936673115776,0.685230416296913,0.6253544991833664,0.6315998868617473,0.6565391061671431,0.6315998868617473,0.682049479563015,0.6594194565811516,0.6557248178856897,0.777989223445362
Book8,0.8428665456727022,0.8129005177476436,0.7044825045137673,0.7825769870720953,0.6775270918665772,0.9594645786297987,0.6928478706290251,1.0,0.748789667160505,0.7605956175949875,0.7147598900329211,0.7635484022009451,0.73550172904855,0.9897322499673622,0.6569817137205496,0.7252753076398927,0.7156394777881485,0.7227865375479767,0.804802808191251,0.7227865375479767,0.7696060164244436,0.7459618490799278,0.7560360579969803,0.798584210495499
Book9,0.8229928071745132,0.7986916953852085,0.7062054688772015,0.7738530343144427,0.7264325786039659,0.748209212900691,0.6832638299134202,0.748789667160505,1.0,0.7701102887624129,0.6967726726367055,0.7389797931981091,0.7422236239198076,0.741922812947282,0.6435048401716439,0.7820881560615522,0.7168569026843108,0.7240161208126417,0.8084053658177824,0.7240161208126417,0.8135993014829879,0.7997479939808498,0.7968290680618534,0.7536317294257366
Book10,0.8658935908924139,0.820104726943245,0.774128836994256,0.8322312125029316,0.6839199887852832,0.7703820410496703,0.7096691555350931,0.7605956175949875,0.7701102887624129,1.0000000000000002,0.7355601863212967,0.7467365480490646,0.8258888412128964,0.7482233587339496,0.6680829778365931,0.7886220915691313,0.7994817750376988,0.8074661641057088,0.8369018879214267,0.8074661641057088,0.8744005241458803,0.8303241269618138,0.8054202081353273,0.7900872380946886
Book11,0.7276748427692332,0.7387797736501915,0.7355684907754423,0.7828731288607378,0.7211166225728739,0.7927916812837661,0.6740160284620262,0.7147598900329211,0.6967726726367055,0.7355601863212967,1.0,0.7358808443359195,0.6894901387879543,0.6983613126673882,0.6468525846776062,0.7249689126859347,0.6697464040868621,0.676435131752828,0.7033840168451719,0.676435131752828,0.7458292469531027,0.7286048441622797,0.7286090176294098,0.751551092379547
Book12,0.7888108943535594,0.8170354215912193,0.6987445241182692,0.727097842132457,0.7403887914102394,0.7618592558104699,0.7973352262165305,0.7635484022009451,0.7389797931981091,0.7467365480490646,0.7358808443359195,1.0000000000000002,0.7237775613640182,0.7477970568614831,0.6369667288751654,0.7516696490796947,0.7070342414196349,0.7140953610650871,0.756334985945323,0.7140953610650871,0.7564866122894469,0.7326630292706112,0.7235821764222998,0.8249016020058431
Book13,0.8444046313720512,0.7693935039203461,0.764103395012863,0.804306743417435,0.6458834518590799,0.7423428418374691,0.6426430556755268,0.73550172904855,0.7422236239198076,0.8258888412128964,0.6894901387879543,0.7237775613640182,1.0,0.7258969888153199,0.6376703384866276,0.72766851340051,0.9767465440679921,0.9614931022006428,0.8080262333652641,0.9614931022006428,0.7799592303761982,0.7617308864095886,0.7753561265619988,0.7373493061007182
Book14,0.8355223933504865,0.7966997477028528,0.6962977080451473,0.7776514815857644,0.6608039523653747,0.9511070727780113,0.6796277408588973,0.9897322499673622,0.741922812947282,0.7482233587339496,0.6983613126673882,0.7477970568614831,0.7258969888153199,1.0000000000000002,0.6633036141699462,0.7138213098201409,0.7056224955470283,0.7126695161489951,0.7975644000913902,0.7126695161489951,0.7567458773354453,0.7361264633249944,0.748572233607645,0.7908915529217171
Book15,0.697705373884246,0.6677561862423316,0.6162549582610398,0.6818616292992195,0.5928195091900321,0.6952192791982988,0.6379936673115776,0.6569817137205496,0.6435048401716439,0.6680829778365931,0.6468525846776062,0.6369667288751654,0.6376703384866276,0.6633036141699462,1.0,0.6577689809967885,0.6192354345703148,0.625419711421497,0.6778060302543053,0.625419711421497,0.675457763686008,0.6627379224672261,0.7113645425525337,0.6862031217374225
Book16,0.793893766003023,0.7790602319645903,0.7501587732863324,0.784950268744881,0.6803625060688734,0.7672879586052473,0.685230416296913,0.7252753076398927,0.7820881560615522,0.7886220915691313,0.7249689126859347,0.7516696490796947,0.72766851340051,0.7138213098201409,0.6577689809967885,1.0,0.7101857908122555,0.7172783848418692,0.7908528036598387,0.7172783848418692,0.7907792665185249,0.7581991593704149,0.7745030291978257,0.778270313054327
Book17,0.8168380089583511,0.7490916197592766,0.7580158433470607,0.7759793022674769,0.6237366387034319,0.7216922593557042,0.6253544991833664,0.7156394777881485,0.7168569026843108,0.7994817750376988,0.6697464040868621,0.7070342414196349,0.9767465440679921,0.7056224955470283,0.6192354345703148,0.7101857908122555,1.0000000000000002,0.9417492387661062,0.7840526118787986,0.9417492387661062,0.759637849454672,0.7402472494262993,0.7513242955240975,0.7208769852841026
Book18,0.8249957339655967,0.7565727645789466,0.7482214243216414,0.7837289731811564,0.6299658688808754,0.7288997679768925,0.6315998868617473,0.7227865375479767,0.7240161208126417,0.8074661641057088,0.676435131752828,0.7140953610650871,0.9614931022006428,0.7126695161489951,0.625419711421497,0.7172783848418692,0.9417492387661062,1.0000000000000002,0.791882910577896,0.9285955811697558,0.7672243190030823,0.7476400659112843,0.7588277379777171,0.7280763517992568
Book19,0.9465493135970856,0.8472596772293055,0.8334487829624702,0.8560356361740153,0.6962574873456105,0.7980721189754807,0.6565391061671431,0.804802808191251,0.8084053658177824,0.8369018879214267,0.7033840168451719,0.756334985945323,0.8080262333652641,0.7975644000913902,0.6778060302543053,0.7908528036598387,0.7840526118787986,0.791882910577896,1.0000000000000002,0.791882910577896,0.8750862332820158,0.8582040636305014,0.8329085203755675,0.7967055500286248
Book20,0.8249957339655967,0.7565727645789466,0.7482214243216414,0.7837289731811564,0.6299658688808754,0.7288997679768925,0.6315998868617473,0.7227865375479767,0.7240161208126417,0.8074661641057088,0.676435131752828,0.7140953610650871,0.9614931022006428,0.7126695161489951,0.625419711421497,0.7172783848418692,0.9417492387661062,0.9285955811697558,0.791882910577896,1.0000000000000002,0.7672243190030823,0.7476400659112843,0.7588277379777171,0.7280763517992568
Book21,0.8745777146179095,0.8631402728572779,0.7736649817002048,0.8316786190156333,0.7092705430969064,0.7769041536316967,0.682049479563015,0.7696060164244436,0.8135993014829879,0.8744005241458803,0.7458292469531027,0.7564866122894469,0.7799592303761982,0.7567458773354453,0.675457763686008,0.7907792665185249,0.759637849454672,0.7672243190030823,0.8750862332820158,0.7672243190030823,1.0,0.9760409292481167,0.8287265148151878,0.8080153822596753
Book22,0.858359123359358,0.8429934820188578,0.7592152971618722,0.8208888246207491,0.6952910518702673,0.7529983694891667,0.6594194565811516,0.7459618490799278,0.7997479939808498,0.8303241269618138,0.7286048441622797,0.7326630292706112,0.7617308864095886,0.7361264633249944,0.6627379224672261,0.7581991593704149,0.7402472494262993,0.7476400659112843,0.8582040636305014,0.7476400659112843,0.9760409292481167,1.0,0.8123969792489321,0.7804887969677577
Book23,0.8709479665726056,0.77528037571788,0.7417148062949697,0.8168462714887463,0.6839407895459564,0.777558782630931,0.6557248178856897,0.7560360579969803,0.7968290680618534,0.8054202081353273,0.7286090176294098,0.7235821764222998,0.7753561265619988,0.748572233607645,0.7113645425525337,0.7745030291978257,0.7513242955240975,0.7588277379777171,0.8329085203755675,0.7588277379777171,0.8287265148151878,0.8123969792489321,1.0000000000000002,0.7847086644951204
Book24,0.8223712637635254,0.8131599944057715,0.7268509787190558,0.7949153226275164,0.7122272783720397,0.8078103387640525,0.777989223445362,0.798584210495499,0.7536317294257366,0.7900872380946886,0.751551092379547,0.8249016020058431,0.7373493061007182,0.7908915529217171,0.6862031217374225,0.778270313054327,0.7208769852841026,0.7280763517992568,0.7967055500286248,0.7280763517992568,0.8080153822596753,0.7804887969677577,0.7847086644951204,1.0
